dataset_%,origin_attr_%,dest_attr_%,or_bin_loaded_rows,dst_bin_loaded_rows,acc_bin_loaded_rows,or_bin_loaded_size (B),dst_bin_loaded_size (B),acc_bin_loaded_size (B),or_bin_load_time (s),dst_bin_load_time (s),acc_bin_load_time (s),time_filtering (s),time_write_bin (s),total_time (s),result_acc_size (B),num_threads,RAM_min (B),RAM_max (B),RAM_max-min (B)
1,att5,att5,89,7,15505,712,56,248080,0.000224106,0.000127649,0.000444688,0.000990897,0.000237528,0.00316885,9968,16,4732993536,4733366272,372736
1,att5,att25,89,41,90815,712,328,1453040,0.000270274,0.000133129,0.00450962,0.00205616,0.000237519,0.00839465,58384,16,4733046784,4734959616,1912832
1,att5,att50,89,83,183845,712,664,2941520,0.000391655,0.000241905,0.00921182,0.00226878,0.000288568,0.0140042,118192,16,4734648320,4737105920,2457600
1,att5,att75,89,125,276875,712,1000,4430000,0.000498652,0.000171682,0.011489,0.0024694,0.000336995,0.0164152,178000,16,4705546240,4709646336,4100096
1,att5,att100,89,167,369905,712,1336,5918480,0.000348073,0.000257111,0.0131762,0.00278574,0.0005179,0.0182495,237808,16,4705001472,4710965248,5963776
1,att25,att5,532,7,15505,4256,56,248080,0.000328338,0.000124791,0.000745952,0.0010781,0.000231805,0.00345877,59584,16,4707205120,4707577856,372736
1,att25,att25,532,41,90815,4256,328,1453040,0.000298872,0.000167479,0.00385312,0.00299107,0.000441431,0.00879276,348992,16,4682305536,4684169216,1863680
1,att25,att50,532,83,183845,4256,664,2941520,0.000358204,0.000153538,0.00192049,0.00105779,0.00026728,0.00461298,706496,16,4682960896,4686315520,3354624
1,att25,att75,532,125,276875,4256,1000,4430000,0.000484585,0.00024887,0.0112191,0.00460294,0.000724792,0.018803,1064000,16,4692250624,4702822400,10571776
1,att25,att100,532,167,369905,4256,1336,5918480,0.000295933,0.000150866,0.0053381,0.00266444,0.00100408,0.0104819,1421504,16,4718563328,4730634240,12070912
1,att50,att5,1086,7,15505,8688,56,248080,0.000526213,0.000117615,0.000279146,0.000423489,0.000123874,0.0025736,121632,16,4705722368,4706095104,372736
1,att50,att25,1086,41,90815,8688,328,1453040,0.00016619,0.000127572,0.0038271,0.00134567,0.000876854,0.00715789,712416,16,4701904896,4704514048,2609152
1,att50,att50,1086,83,183845,8688,664,2941520,0.00055465,0.000263962,0.00313568,0.0022644,0.00176083,0.00969548,1442208,16,4700499968,4709072896,8572928
1,att50,att75,1086,125,276875,8688,1000,4430000,0.000373813,3.3939e-05,0.00276798,0.00496688,0.00147776,0.0105208,2172000,16,4700905472,4713951232,13045760
1,att50,att100,1086,167,369905,8688,1336,5918480,0.000150456,6.4484e-05,0.00634893,0.00966458,0.00122223,0.0184268,2901792,16,4712878080,4727156736,14278656
